,ZIP,Earthquake_intersection_count,Recent_Fire_Count,All_Fire_Count,all_fire_acre_sum,intersect_fire_severity_count,fire_severity_overlap_area_sum,earthquake_overlap_area,Fatalities,Injuries,value,Xgroup,Ygroup
0,95620,0,0,0,0,0,0,0,0,0,0.293594178,A,1
1,94571,0,0,0,0,0,0,0,0,0,0.293594178,A,2
2,94535,0,0,0,0,0,0,0,0,0,0.293594178,A,3
3,94512,0,0,0,0,0,0,0,0,0,0.293594178,A,4
4,94590,0,0,0,0,0,0,0,0,0,0.293594178,A,5
5,94547,0,0,0,0,0,0,0,0,0,0.293594178,A,6
7,94801,0,0,0,0,0,0,0,0,0,0.293594178,A,7
10,94523,0,0,0,0,0,0,0,0,0,0.293594178,A,8
11,94518,0,0,0,0,0,0,0,0,0,0.293594178,A,9
15,94598,0,0,0,0,0,0,0,0,0,0.293594178,A,10
17,94595,0,0,0,0,0,0,0,0,0,0.293594178,A,11
20,94115,0,0,0,0,0,0,0,0,0,0.293594178,A,12
21,94118,0,0,0,0,0,0,0,0,0,0.293594178,A,13
22,94305,0,0,0,0,0,0,0,0,0,0.293594178,A,14
29,94592,0,1,0,0,0,0,0,0,0,0.320352769,A,15
30,94572,0,1,0,0,0,0,0,0,0,0.320352769,A,16
65,94510,0,2,0,0,0,0,0,0,0,0.323407718,A,17
49,94117,1,0,0,0,0,0,0,0,0,0.338840427,B,1
34,94964,0,0,2,229.023697,0,0,0,0,0,0.35247435,B,2
68,94970,0,1,2,0,0,0,0,0,0,0.353419538,B,3
31,94569,0,0,2,319.363617,0,0,0,0,0,0.353929358,B,4
23,94589,0,0,1,1831.841309,0,0,0,0,0,0.35453174,B,5
96,94591,0,2,2,0,0,0,0,0,0,0.356789818,B,6
60,94920,0,0,3,509.530411,0,0,0,0,0,0.357384195,B,7
24,94933,0,0,1,31768.96094,0,0,0,0,0,0.358192799,B,8
19,94528,0,0,0,0,1,3613794.519,0,0,0,0.360580216,B,9
63,94014,0,0,3,2042.89798,0,0,0,0,0,0.361900447,B,10
132,94973,0,0,12,1395.622696,0,0,0,0,0,0.363975514,B,11
58,94938,0,0,3,33458.31528,0,0,0,0,0,0.36531432,B,12
8,94806,0,0,0,0,1,30019903.54,0,0,0,0.366211137,B,13
121,94945,0,0,9,2205.550873,0,0,0,0,0,0.366531553,B,14
111,94533,0,0,8,9282.688416,0,0,0,0,0,0.368154087,B,15
18,94709,0,0,0,0,1,81201542,0,0,0,0.369492277,B,16
123,94960,0,0,10,33406.69023,0,0,0,0,0,0.369739848,B,17
112,94947,0,0,8,36879.19899,0,0,0,0,0,0.369830981,B,18
6,94564,0,0,0,0,4,7325972.651,0,0,0,0.371200954,B,19
13,94805,0,0,0,0,2,30732269.26,0,0,0,0.372113856,B,20
14,94530,0,0,0,0,2,33845725.43,0,0,0,0.372422871,B,21
175,94930,0,0,41,34166.10151,0,0,0,0,0,0.373319792,C,1
12,94549,0,0,0,0,4,43298016.65,0,0,0,0.377331416,C,2
9,94803,0,0,0,0,9,38058241.92,0,0,0,0.379265843,C,3
50,94015,1,0,0,0,0,0,46215.11056,0,0,0.38002482,C,4
16,94708,0,0,0,0,3,115047267.4,0,0,0,0.38059314,C,5
57,94525,0,1,1,319.363617,0,0,0,0,0,0.381580366,C,6
27,94596,0,0,1,224.436508,1,0,0,0,0,0.386131065,C,7
